OlinkID,fa_6_nobs,fa_6_beta,fa_6_se,fa_6_pvalue,fa_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,1187,0.04373503132334094,0.02607163048027316,0.09371167082234036,0.4957073153370574,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,1187,0.018619647107232237,0.026275631705890274,0.4786959454372933,0.7329639856014711,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,1187,0.009228293496730136,0.026508798813970565,0.7278109925534126,0.8631991920641726,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,1187,0.041102151256868336,0.026627633022823803,0.12295692468681554,0.5404251665764965,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,1187,-0.03487448460469398,0.026437346395669473,0.18738028614021707,0.5900017328250979,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,1187,-0.0306834472047146,0.0271377597203698,0.25843100403583363,0.6258440967661489,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,1187,-0.01908534920882347,0.027159331605322735,0.4823707467941867,0.7347016857447122,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,1187,-0.02577942265957344,0.026376772275729918,0.3285955016586056,0.6521380639964443,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,1187,-0.024135826736779883,0.026634518087599018,0.36502320962393653,0.6702027900318885,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,1187,0.041363512739847924,0.026400435820657372,0.11743681321583704,0.5297342670214378,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,1187,-0.01976615928687588,0.0294565191703825,0.502334356370698,0.743454847428633,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,1187,0.06214534145317755,0.02609948975229766,0.01741988102087622,0.24838201084888384,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,1187,-0.015802323594625692,0.02701810927366724,0.5587413987649426,0.7723219557319182,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,1187,0.0186621093548574,0.027008064766278563,0.4897128059025042,0.7389935630629942,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,1187,-0.019502461270272095,0.026359220550246504,0.4595251844671212,0.721370630610846,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,1187,-0.03468722385253467,0.025939932870442512,0.18141181917942814,0.5878788774517388,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,1187,-0.02669985938239582,0.02647305715136917,0.3133898482109309,0.6492122794617654,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,1187,-0.009026196749651189,0.026296114410527077,0.7314702088102785,0.864099066994716,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,1187,0.05394336857589868,0.025829597150891434,0.03697368372334728,0.34975429619205206,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,1187,0.040383852095493514,0.027106132125747705,0.13653416959475428,0.5558117308524443,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,1187,-0.05476149993808646,0.026780848857550617,0.041096940085864356,0.3742254076977617,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,1187,4.7513983046383986e-4,0.026198043154380873,0.9855330688356716,0.9941042824332817,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,1187,-0.017751803711242797,0.02686292975763315,0.5088515052565616,0.7468366870792122,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,1187,-0.04015683011756775,0.026613346872700266,0.13159364266017112,0.5495140130906823,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,1187,0.046791929290643616,0.02624846681522778,0.07490079692825691,0.46188824772425097,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,1187,-0.008224499396329545,0.027146519893313764,0.7619686472795081,0.8795553774669329,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,1187,-0.025664560045510435,0.026961480228510217,0.3413448360169109,0.6580768531776532,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,1187,0.03474614948598837,0.025841644800692246,0.1790205207951182,0.5878264561598976,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,1187,-0.012826374791418184,0.027084538552252707,0.635895865227178,0.8148722551771334,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,1187,0.010836049764530939,0.02766564088208796,0.6953664512503548,0.8466535904384498,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,1187,0.015834621271910668,0.026401747234857244,0.5487841186284386,0.7678774431550627,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,1187,0.04682272915370074,0.025900132864269003,0.07089043683961584,0.44473047697817614,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,1187,-0.029192893679790305,0.02661701785703689,0.27296425727014867,0.6297336194975349,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,1187,-0.01608211297482013,0.026113423915967427,0.5381087332735321,0.7605859900186337,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
