OlinkID,fa_1_nobs,fa_1_beta,fa_1_se,fa_1_pvalue,fa_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,1187,-0.0295465859334687,0.02642927967989508,0.26381730689003646,0.4530775487894105,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,1187,-0.018485831292019098,0.026603675091258865,0.4872803818947081,0.6686950968442403,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,1187,0.0305848262350372,0.02798436205190803,0.2746504798181494,0.46458527344239037,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,1187,0.042555486325039124,0.027161456048842687,0.1174400245098793,0.2540911855235953,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,1187,0.030394198136339298,0.02736092093968623,0.26685516173661156,0.455884066485164,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,1187,-0.005162123276759201,0.02693989318401204,0.8480758620439842,0.9172983681380948,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,1187,-0.0554608949398609,0.02723911783607341,0.04196670517314228,0.12279147069178667,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,1187,-0.04469531504086594,0.026906536655411536,0.09695366833069373,0.22247373835199696,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,1187,-0.0023773490366824166,0.026919192122496455,0.9296419394837336,0.9605314206825568,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,1187,-0.020673907467110914,0.026759203317309996,0.4399201160299363,0.6287953541102709,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,1187,-0.023687463721973955,0.027633339425582954,0.39150585712851926,0.5838630716258479,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,1187,0.008784307229374023,0.026793234321200017,0.7430793861352749,0.8525761183637842,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,1187,-0.04874156662143079,0.027693810347141128,0.07866515929664397,0.1919351090351338,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,1187,-0.009511825400825345,0.027510934581983372,0.7295946878978838,0.8441065551754999,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,1187,-0.0777969341546958,0.027236061349597104,0.004360278699316987,0.030563776110560076,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,1187,-0.04746855715992516,0.026243491112805644,0.07074156814156606,0.17788695458773904,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,1187,-0.021910566400748024,0.02734472210228434,0.42313606340499954,0.6156429633314154,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,1187,-0.03566080523356429,0.026846410087065346,0.18432811703420046,0.35215103666076336,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,1187,0.026183295152993,0.026806249443600088,0.3288886100912711,0.5220077208131494,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,1187,0.023520539576483753,0.02788823462444995,0.3991843959649438,0.5904939217639326,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,1187,-0.03498777716124834,0.026592697333167565,0.18853436551183841,0.35738388481913336,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,1187,0.03021154505237118,0.026753889488524203,0.25902735935123267,0.44708232095388106,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,1187,-0.04365466193439804,0.026310661863382066,0.09734227085647987,0.22316192761842404,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,1187,-0.020317814900182155,0.027578671855835176,0.4614384778025038,0.6453515170414922,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,1187,0.05537958089470943,0.02699990800729811,0.04047831797222711,0.11951325599274731,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,1187,-0.050489376779602996,0.027076700644918853,0.06247546126679101,0.16189341603087776,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,1187,-0.03658942992606111,0.027156711758523022,0.17812925320425765,0.34345106010293214,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,1187,-0.010690591273390197,0.02654066167320714,0.6871682811046576,0.8161693968585592,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,1187,-0.09231740564815535,0.02701356120365239,6.537484839435083e-4,0.011404032287021134,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,1187,0.020408716968512326,0.027278296989493443,0.45450925405071185,0.6408733958467104,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,1187,0.004037485210852454,0.026978697498765712,0.8810628397882337,0.9368303676613341,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,1187,0.01791918580430402,0.02643804923461917,0.4980445164575402,0.6771088937699489,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,1187,-0.05377364096927536,0.026930563936761652,0.04608255786154452,0.1313838158861697,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,1187,-0.00837871416965683,0.026815976305433496,0.7547522300145862,0.8607650286120311,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,1187,0.014680051919149308,0.026533665381510342,0.5801897020715981,0.7415367289703898,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
