Value,Feature
0,OID21410
0,OID21421
-5.817854534960471e-4,OID21422
0,OID21428
0,OID21436
0,OID21437
0,OID21442
0,OID21470
0,OID21471
0,OID21475
0,OID21476
0,OID21477
0,OID21478
0,OID21480
0,OID21489
0,OID21501
0,OID21503
0,OID21506
0,OID21509
0,OID21513
0,OID21514
0,OID21515
0,OID21519
0,OID21520
0,OID21521
0,OID21526
0,OID31209
0,OID31286
0,OID31310
0,OID31313
0,OID31344
0,OID31360
0,OID31362
0,OID31368
0,OID31372
0,OID31375
0,OID31378
0,OID31381
0,OID31395
0,OID31397
0,OID31406
0,OID31408
0,OID31420
0,OID31422
0,OID31423
0,OID31424
0,OID31426
0,OID31428
0,OID31446
-2.4998088500755174e-4,OID31448
0,OID31450
0,OID31452
0,OID31453
0,OID31463
0,OID31465
0,OID31466
0,OID31468
0,OID31472
0,OID31477
0,OID31478
0,OID31481
0,OID31482
0,OID31483
0,OID31484
0,OID31485
0,OID31486
0,OID31487
0,OID31492
0,OID31494
0,OID31495
0,OID31497
0,OID31499
0,OID31519
0,OID31520
0,OID31523
0,gender_1
0,race_2
0,race_3
0,race_4
0,edu_1
0,E4_1
0,E4_2
