OlinkID,mb_present_1_nobs,mb_present_1_OR,mb_present_1_CI_lower,mb_present_1_CI_upper,mb_present_1_pvalue,mb_present_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,986,1.005510449520793,0.8794087555246312,1.149694334680966,0.9359359305585897,0.9816077233666156,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,986,1.0047213745435168,0.8793102055053893,1.1480192475241628,0.9447955978990332,0.9827922742382115,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,986,1.0601269047201138,0.9265651794932934,1.2129411713119356,0.3954030483941334,0.7412982168356138,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,986,0.8715533261071712,0.7640389901533835,0.9941969062285417,0.040693201552817734,0.2442078351719568,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,986,1.0142571229281085,0.8850916509288002,1.1622723029088406,0.8385964725659676,0.9454244461937087,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,986,0.934305367992828,0.8089192264376754,1.0791269290314858,0.35536537040977095,0.712436884573224,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,986,0.8866772847989496,0.7692725123773356,1.0220001296404055,0.09697399607927473,0.380997807312206,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,986,0.9179687354054158,0.8028614306900118,1.0495791265718122,0.21052702011243057,0.569260388333612,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,986,0.947713375001919,0.830144508863638,1.0819328822484118,0.42679525399163637,0.7624645448572603,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,986,1.0598147713930064,0.9249639046978421,1.214325601202491,0.4027856542956035,0.7455971144562249,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,986,1.0078414122323687,0.873678838687276,1.1626060598385515,0.914656118369841,0.9738729989117022,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,986,1.0328378481869707,0.9058709480898867,1.1776004329279375,0.629238892748815,0.8782106968030967,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,986,1.0841310381378915,0.9479799896360322,1.23983641079302,0.2380902516907411,0.5978847127938456,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,986,1.096866709658611,0.9551128218045482,1.2596591222429536,0.1903555732081255,0.5424490349162164,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,986,0.8708185872824593,0.7569335503096721,1.00183828771545,0.0530742108634345,0.2771554660194961,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,986,0.8722251023894159,0.7593463170928945,1.0018836097747972,0.053188646277529,0.2771554660194961,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,986,1.0048740397386253,0.8815077678437215,1.1455053177927779,0.9419998926812919,0.9820779589924449,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,986,0.9115377370622458,0.793950170073216,1.0465405480194512,0.188699746823107,0.5423494198268847,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,986,1.0804315186534361,0.9428139900572422,1.2381363437647936,0.2657590604063618,0.6243428921438781,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
