OlinkID,epvs_6_nobs,epvs_6_beta,epvs_6_se,epvs_6_pvalue,epvs_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,941,0.005277466231783082,0.02927972159067982,0.8570011591664873,0.9413462549078545,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,941,-0.029157100605553092,0.031555924806509435,0.35573622946087136,0.6171548035732171,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,941,-0.018993340537097426,0.029120797012578137,0.5144170861788149,0.7383292973148531,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,941,-0.011879005610247224,0.033008656021796826,0.7190222315955024,0.8638314767585916,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,941,0.010138242377390617,0.03159070655811406,0.7483396858386504,0.8845114847174991,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,941,-0.04349057199355203,0.02939462274681446,0.13933531657941894,0.3705956209228912,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,941,0.08212639895925965,0.031637786770514424,0.009585456592298897,0.1729704869808568,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,941,-0.02185320017902491,0.030502244204481242,0.47389666543230546,0.7081799351015485,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,941,0.012567447311126717,0.030449930484075297,0.6799035492519274,0.8414080959115325,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,941,-0.018917470045419316,0.03093576367337934,0.5410131883917566,0.7570040927090017,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,941,0.0026149093093380425,0.034366349978356685,0.9393645216369964,0.9757130118584096,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,941,0.014303122266460674,0.030704252057411188,0.6414428758749257,0.81519022877496,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,941,0.04378114837943718,0.03144937354221163,0.16422141508701638,0.4043969640264102,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,941,0.04510906298194142,0.03060606356935653,0.1408586891570119,0.3732819115194432,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,941,0.05992859778920062,0.02988977671963253,0.04525483911744183,0.21130973600684103,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,941,0.04406583897772691,0.02811461093861328,0.11737082181340773,0.33800483956708455,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,941,0.052060988380254816,0.030794344912701832,0.09124896827830602,0.2960274520282891,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,941,0.06485658681010976,0.030481201233189772,0.03362058632414393,0.19404548326670149,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,941,-0.00819455281547716,0.030754794701528636,0.7899534748586561,0.9110375721893191,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
