OlinkID,mb_present_1_nobs,mb_present_1_OR,mb_present_1_CI_lower,mb_present_1_CI_upper,mb_present_1_pvalue,mb_present_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,974,1.016865649679551,0.8921325575019069,1.1590382402292332,0.8022055136358175,0.9375636610785665,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,974,1.0082696273233005,0.8828090782288889,1.1515600218137856,0.9033149117687402,0.9667577686808899,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,974,1.0722409131558228,0.9366205052523411,1.2274988315950701,0.3120300798555106,0.663801982108921,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,974,0.8756298337842803,0.7679224130322765,0.9984441042494484,0.0473392919628812,0.25296663694241633,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,974,1.014598744561196,0.8838250378899649,1.164722165964838,0.836899148475957,0.9457971079297725,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,974,0.9445463427633585,0.817148161024568,1.0918066468007537,0.4402438857139145,0.7613283433441127,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,974,0.8735357303908343,0.7596746835996548,1.0044624215377698,0.0577602962660604,0.2796336275196393,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,974,0.924035192154639,0.8085152647726045,1.0560605019379616,0.2462581747340026,0.5978993686386376,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,974,0.9461316609929235,0.8263176395469115,1.083318420291823,0.42281210177941064,0.7505859858692291,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,974,1.0496605879164937,0.9142397851718636,1.2051404540637878,0.4916254871014755,0.7928362857754431,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,974,1.0037735656600384,0.8676322052494279,1.1612770538274484,0.9596053136807811,0.9817886003412282,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,974,1.0180595057698747,0.8921004089457895,1.1618032531934235,0.790537390508575,0.93509208770907,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,974,1.077454101864824,0.941622425463439,1.232879878634974,0.2778819099017246,0.6278830094894466,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,974,1.1116414257210094,0.9668242412141185,1.2781502642374925,0.13721930895749831,0.45128022662387857,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,974,0.8815355324448996,0.7679456462307184,1.0119269492276572,0.07320676244266242,0.3175131256762679,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,974,0.8811394589534748,0.7679600312851166,1.0109988990254752,0.07122394738461063,0.3127276693455875,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,974,0.982155089714417,0.8605547522406873,1.120938113165098,0.7894578668705711,0.9347954841542048,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,974,0.9117943385328664,0.7951905565647099,1.0454964648626752,0.18593656536333356,0.5320275642862591,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,974,1.0860076633431237,0.9492469883636012,1.2424718321974042,0.22955472448944694,0.5768387299382429,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,974,0.9991882809589997,0.8644311412638519,1.1549528622327414,0.9912343070108727,0.9961006390948952,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,974,0.9241521033165923,0.8013123509798634,1.065822970306299,0.27837832686685293,0.6278830094894466,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,974,0.911175751663158,0.7953898643065396,1.04381673400222,0.17974921022593066,0.52072045737402906,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,974,0.9613569154733276,0.8365179775864119,1.1048263679819368,0.5786809850294804,0.8436331766788884,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,974,0.899941677546905,0.7784727525879162,1.0403639951347852,0.15412854674408782,0.4833881353358033,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,974,0.9550692351065455,0.8317183652906892,1.0967140824504926,0.5146858690807552,0.8102590928812651,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,974,0.893719901368459,0.7696092812359644,1.0378451528278199,0.14074422005915163,0.45710595025877804,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,974,0.9623572371527396,0.8431564906505977,1.0984099181702691,0.5695427007071416,0.8378423923835107,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,974,0.9146482611889908,0.7970323278478957,1.0496204638962852,0.2039437123903555,0.5509496038049992,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,974,0.8061140193256524,0.6937125827925665,0.9367277288491491,0.004906348096518244,0.11204988797697968,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,974,0.9664741518035307,0.8415109603135246,1.1099942010931665,0.6292834100875675,0.8732662845920748,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,974,1.0029065531712573,0.8831782985851077,1.138865794149635,0.964309772562131,0.9830456871760194,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,974,0.9153590195996231,0.7951471412891642,1.0537447615090878,0.2182463567506098,0.5656169830089829,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
