protein,Nobs_mb_present,model_mb_present,beta_mb_present,SE_mb_present,P_mb_present,beta_time_mb_present,SE_time_mb_present,P_time_mb_present,beta_int_time_mb_present,SE_int_time_mb_present,P_int_time_mb_present,P_mb_present_fdr,P_time_mb_present_fdr,P_time_mb_present_int_fdr
OID30552,2935,lmer,NA,NA,NA,0.027412642510192098,0.01836137501150568,0.13560917413892243,NA,NA,NA,NA,0.16132910704439166,NA
OID30553,2935,lmer,NA,NA,NA,0.007389778976703152,0.010620350720951193,0.48662888445514596,NA,NA,NA,NA,0.5281902076726296,NA
OID30554,2935,lmer,NA,NA,NA,0.10901692955662422,0.01735209680719185,4.085840408161007e-10,NA,NA,NA,NA,7.413352894509388e-10,NA
OID30555,2935,lmer,NA,NA,NA,0.21221444464796327,0.02085905034088041,9.79077940231153e-24,NA,NA,NA,NA,2.4649826178257195e-23,NA
OID30556,2935,lmer,NA,NA,NA,0.24910214004607492,0.02000541494129723,2.5250257240341495e-34,NA,NA,NA,NA,8.512860658998637e-34,NA
OID30557,2935,lmer,NA,NA,NA,0.2974440980742709,0.019994629076243157,1.5595854714185182e-47,NA,NA,NA,NA,8.601261005577978e-47,NA
OID30559,2935,lmer,NA,NA,NA,0.24415119642963043,0.0203935820365623,6.121270324917556e-32,NA,NA,NA,NA,1.911589012792096e-31,NA
OID30560,2935,lmer,NA,NA,NA,0.22587536970558664,0.020189139335481276,3.178196497259355e-28,NA,NA,NA,NA,8.864378207527762e-28,NA
OID30561,2935,lmer,NA,NA,NA,0.2683176818496467,0.02074350807658025,8.350877806557159e-37,NA,NA,NA,NA,3.0435929960806205e-36,NA
OID30564,2935,lmer,NA,NA,NA,0.1663467424690745,0.018493672677126545,5.451975539960635e-19,NA,NA,NA,NA,1.2450097268206982e-18,NA
OID30565,2935,lmer,NA,NA,NA,0.0595954992092368,0.016706677140628182,3.6964597476302446e-4,NA,NA,NA,NA,5.440459135107354e-4,NA
OID30566,2935,lmer,NA,NA,NA,-0.007415094957311096,0.022381204650789913,0.7404457202585086,NA,NA,NA,NA,0.7729724429698647,NA
OID30567,2935,lmer,NA,NA,NA,0.0362843841458367,0.022300197770646367,0.10387778630407882,NA,NA,NA,NA,0.12557269204583224,NA
OID30568,2935,lmer,NA,NA,NA,0.3166583104457769,0.020204820099133644,2.782772841812948e-52,NA,NA,NA,NA,1.974282771024089e-51,NA
OID30569,2935,lmer,NA,NA,NA,0.14266257337159471,0.013032392821865283,4.0971855285390476e-27,NA,NA,NA,NA,1.1088956759184849e-26,NA
OID30570,2935,lmer,NA,NA,NA,0.06655316766137284,0.018151091449423448,2.522512004369779e-4,NA,NA,NA,NA,3.748501570296321e-4,NA
OID30571,2935,lmer,NA,NA,NA,-0.1121997805235953,0.019272090793149264,6.770131292813734e-9,NA,NA,NA,NA,1.1885341602939666e-8,NA
OID30572,2935,lmer,NA,NA,NA,-0.09855854824786794,0.017194483214517758,1.1448029469352259e-8,NA,NA,NA,NA,1.993007155385149e-8,NA
OID30573,2935,lmer,NA,NA,NA,0.1698452782108176,0.021076673544913993,1.3173785248190692e-15,NA,NA,NA,NA,2.770285919457654e-15,NA
OID30574,2935,lmer,NA,NA,NA,-0.19407833028025248,0.015211911669299843,7.050164774435036e-36,NA,NA,NA,NA,2.488844400443673e-35,NA
OID30575,2935,lmer,NA,NA,NA,0.09534422250772114,0.016032538058266023,3.226181872892005e-9,NA,NA,NA,NA,5.711768391558649e-9,NA
OID30576,2935,lmer,NA,NA,NA,0.12305857280044216,0.012305714434981747,5.350068880486616e-23,NA,NA,NA,NA,1.3252755370900323e-22,NA
OID30577,2935,lmer,NA,NA,NA,0.15125924633827184,0.012344043809724281,2.5625409501075234e-33,NA,NA,NA,NA,8.39613328859503e-33,NA
OID30578,2935,lmer,NA,NA,NA,0.2873749103085861,0.020183988574337567,7.074207999078872e-44,NA,NA,NA,NA,3.3244228265767756e-43,NA
OID30579,2935,lmer,NA,NA,NA,0.0034708639700039897,0.014096017391347455,0.8055296826328232,NA,NA,NA,NA,0.8331787906354361,NA
OID30580,2935,lmer,NA,NA,NA,0.3153125098179967,0.019011674333832704,5.863677822995448e-58,NA,NA,NA,NA,5.930633313707854e-57,NA
